run_ts_ist,location,lat,lon,line,obs_time,precip_mm,rain_mm,source
2026-06-25 16:42:17,Kalyan,19.243,73.13,CR,2026-06-25T16:45,0.0,0.0,open-meteo
2026-06-25 16:42:17,Chunnabhatti,19.046,72.875,Harbour-hotspot,2026-06-25T16:45,0.0,0.0,open-meteo
2026-06-25 16:42:17,Matunga,19.027,72.852,CR-hotspot,2026-06-25T16:45,0.0,0.0,open-meteo
2026-06-25 19:03:04,Churchgate,18.935,72.827,WR,2026-06-25T19:00,0.0,0.0,open-meteo
2026-06-25 19:03:04,Dadar,19.018,72.844,WR/CR,2026-06-25T19:00,0.0,0.0,open-meteo
2026-06-25 19:03:04,Andheri,19.119,72.846,WR,2026-06-25T19:00,0.0,0.0,open-meteo
2026-06-25 19:03:04,Borivali,19.231,72.857,WR,2026-06-25T19:00,0.0,0.0,open-meteo
2026-06-25 19:03:04,Virar,19.455,72.811,WR,2026-06-25T19:00,0.0,0.0,open-meteo
2026-06-25 19:03:04,CSMT,18.94,72.835,CR,2026-06-25T19:00,0.0,0.0,open-meteo
2026-06-25 19:03:04,Sion,19.043,72.862,CR-hotspot,2026-06-25T19:00,0.0,0.0,open-meteo
2026-06-25 19:03:04,Kurla,19.065,72.879,CR-hotspot,2026-06-25T19:00,0.0,0.0,open-meteo
2026-06-25 19:03:04,Thane,19.186,72.975,CR,2026-06-25T19:00,0.0,0.0,open-meteo
2026-06-25 19:03:04,Kalyan,19.243,73.13,CR,2026-06-25T19:00,0.0,0.0,open-meteo
2026-06-25 19:03:04,Chunnabhatti,19.046,72.875,Harbour-hotspot,2026-06-25T19:00,0.0,0.0,open-meteo
2026-06-25 19:03:04,Matunga,19.027,72.852,CR-hotspot,2026-06-25T19:00,0.0,0.0,open-meteo
2026-06-25 21:47:51,Churchgate,18.935,72.827,WR,2026-06-25T21:45,0.1,0.0,open-meteo
2026-06-25 21:47:51,Dadar,19.018,72.844,WR/CR,2026-06-25T21:45,0.1,0.0,open-meteo
2026-06-25 21:47:51,Andheri,19.119,72.846,WR,2026-06-25T21:45,0.1,0.0,open-meteo
2026-06-25 21:47:51,Borivali,19.231,72.857,WR,,,,open-meteo-ERR
